RefDes,Name,Value,Quantity,Supplier,SKU
"C1, C3, C14, C17",CAP_0805,27,4,Farnell,1414683
"C2, C8, C13, C24",EXV107M016A9GAA,100u 16V,4,Farnell,2069168
"C4, C5, C9, C10, C15, C16, C25, C26",CAP_0805,22,8,Farnell,1650870
"C6, C7, C11, C12, C19, C20, C21, C22, C23, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C43, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58",CAP_0805,100n,33,Farnell,1414664
"C18, C41, C42, C44, C45, C46, C47, C48",CAP_0805,10u,8,Farnell,1845747
C27,CAP_0805,4u7,1,Farnell,2426962
J1,09 72 264 6801,,1,Farnell,1097074
"J2, J3",72309-8034BLF,,2,Farnell,1097895
"L1, L2, L3, L4",2508056017Y2,2A 600R@100MHz,4,Farnell,1838838
Q1,2N7002,,1,Farnell,2443474
R1,RES_0805,0R,1,Farnell,9333681
"R2, R3, R6, R8, R11, R12, R13, R14, R19, R21",RES_0805,27,10,Farnell,9332979
"R4, R5, R9, R10, R17, R18, R22, R23",RES_0805,15K,8,Farnell,9332618
"R7, R15, R16, R24",RES_0805,10K,4,Farnell,1469856
R20,RES_0805,12K,1,Farnell,9332502
U1,SN74LVC125APWR,,1,Farnell,1102981
U2,SN74LVC08PWR,,1,Farnell,1102978
"U3, U4, U7",74LVC1G97GV,,3,Farnell,2445075
U5,74LVC162244ADGGR,,1,Farnell,1470748
U6,SN74LVC2G32DCTR,,1,Farnell,1287570
U8,MM74HC541MTCX,,1,Farnell,2452994
U9,SN74AC11PW,,1,Farnell,1752859
U10,TPS2044B,TPS2044B,1,Farnell,8456780
U11,TUSB2046BVF,TUSB2046BVF,1,Farnell,1470507
"U12, U14",SN75240PWR,SN75240PWR,2,Farnell,1100941
U13,FT313HL-R,FT313HL-R,1,Farnell,2419922
"U15, U16",AS7C34098A-12JIN,,2,Farnell,1562919
U17,XC6222D331MR-G,,1,Farnell,1830952
U18,SN74LVC16T245DGGR,,1,Farnell,1494928
Y1,ABL-6.000MHZ-B2,6MHz,1,Farnell,2467711
Y2,ABL-12.000MHZ-B2,12MHz,1,Farnell,2467707
,,,110,,
