"RefDes","Name","Value","Quantity","Part","Number of Pins"
"B801","BR2325/1VG","","1","Part 1","3"
"C100, C101, C102, C103","CAP100","47n","4","Part 1","2"
"C104, C105, C201, C202, C203, C204, C205, C301, C302, C303, C304, C305, C306, C401, C402, C405, C406, C407, C408, C409, C411, C412, C501, C502, C503, C504, C505, C506, C507, C508, C509, C510, C511, C512, C513, C514, C515, C516, C517, C603, C701, C702, C703, C801, C802, C906","CAP100","22n","46","Part 1","2"
"C106, C602, C904, C905","CAP100","100n","4","Part 1","2"
"C403, C404, C410, C413, C901, C902, C903","CAP100RP","1u tant 10V","7","Part 1","2"
"C601, C604, C606, C608, C609","CAP100RP","1u","5","Part 1","2"
"C605, C607","CAP100","10","2","Part 1","2"
"C907","CAP100","10n","1","Part 1","2"
"C908, C909, C910, C911","POLCAP","470u","4","Part 1","2"
"C912, C913, C916, C917, C918, C919","CAP100","470n","6","Part 1","2"
"C914, C915","POLCAP","1000u","2","Part 1","2"
"D601","LED_BICOL_COMC","","1","Part 1","3"
"D701","LED","HDD","1","Part 1","2"
"D901","LED","PWR (R)","1","Part 1","2"
"D902","SR303","","1","Part 1","2"
"HS901","HEATSINK_2PAD","EA-T220-64E","1","Part 1","2"
"J301","HDR-2x4","BUS ANALYSER","1","Part 1","8"
"J401, J402, J501, J502, J503, J504","CONN_DIN41612_AB","","6","Part 1","64"
"J601, J602","HDR-1x11","","2","Part 1","11"
"J701","IDC2X20M","","1","Part 1","40"
"J702","HDR-1x4","HDD PWR","1","Part 1","4"
"J801","HDR-1x2","RAMCLR","1","Part 1","2"
"J901","4840-2211","12V 3A DC INPUT","1","Part 1","3"
"L901","IND","47u","1","Part 1","2"
"L902","IND","10u","1","Part 1","2"
"LS601","PIEZO TRANSDUCER","","1","Part 1","2"
"Q100, Q101, Q702","2N7000","","3","Part 1","3"
"Q701","TMOSP","STP12PF06","1","Part 1","3"
"R100, R303, R501, R502, R602","RES5SIPB","10K","5","Part 1","5"
"R101, R103","RES","22","2","Part 1","2"
"R102, R104, R105, R301, R302, R601, R603","RES","10K","7","Part 1","2"
"R106, R203, R206, R401, R702, R708","RES9SIPB","10K","6","Part 1","9"
"R201, R202, R204, R205, R207, R701, R704","RES16DIPI","22","7","Part 1","16"
"R604, R605, R901","RES","330","3","Part 1","2"
"R703, R705, R706, R707, R710, R711","RES","10k","6","Part 1","2"
"R709","RES","100k","1","Part 1","2"
"R712","RES","270","1","Part 1","2"
"S901","SWITCHSPDT","POWER","1","Part 1","3"
"SW100","PB","RESET","1","Part 1","4"
"U100","MC68000P","","1","Part 1","64"
"U101","MC74HC04AN","","1","Part 1","12"
"U102","AEL_XTALOSC_8P","10MHz","1","Part 1","4"
"U103","74ABT125N","","1","Part 1","14"
"U104","SN74HC148N","","1","Part 1","14"
"U105","ADM707AN","","1","Part 1","8"
"U201, U203, U205","74ABT541N","","3","Part 1","20"
"U202, U204","74ABT245N","","2","Part 1","20"
"U301","74HC393N","","1","Part 1","12"
"U302, U305","ATF22V10C-15PU","","2","Part 1","24"
"U303","74HC139N","","1","Part 1","14"
"U304","74HC164N","","1","Part 1","12"
"U401","ATF16V8C","","1","Part 1","20"
"U402, U403","A29040B","","2","Part 1","32"
"U501","SN74HC21N","","1","Part 1","10"
"U601","MC68681P","","1","Part 1","40"
"U602","MAX238CNG","","1","Part 1","24"
"U701, U702","74HC245AN","","2","Part 1","20"
"U703","74HC365N","","1","Part 1","14"
"U801","MC74HC32AN","","1","Part 1","12"
"U802","DS17485","","1","Part 1","24"
"U901","LM2678T","","1","Part 1","7"
"X601","CRYSTAL","3M6864","1","Part 1","2"
"Y801","TC26H","32.768kHz","1","Part 1","2"
"","","","177","","652"
